id,x,y,r
147,5.864615,6.344064,0.250
148,15.493871,7.556598,0.250
149,2.936775,5.073957,0.250
150,11.857712,17.548181,0.250
151,16.386501,18.921841,0.250
152,4.183844,9.536904,0.250
153,17.935760,17.341861,0.250
154,0.591588,2.613720,0.250
155,9.585186,19.744589,0.250
156,7.113497,5.183029,0.250
157,19.454948,6.157313,0.250
158,3.756506,14.151916,0.250
159,18.195166,13.099165,0.250
160,13.978520,15.089770,0.250
161,12.524106,9.820955,0.250
162,13.291883,1.000607,0.250
163,6.044914,16.267368,0.250
164,13.093539,18.095964,0.250
165,2.030852,2.530088,0.250
166,5.089202,11.431808,0.250
167,1.555749,11.672081,0.250
168,1.131201,2.212665,0.250
169,2.963983,3.104625,0.250
170,4.297274,19.629998,0.250
171,8.187233,12.751534,0.250
172,14.858877,8.294333,0.250
173,1.931235,10.478528,0.250
174,8.316264,3.292209,0.250
175,16.127241,4.077887,0.250
176,6.578077,10.208449,0.250
177,11.859947,2.356755,0.250
178,1.223113,17.999455,0.250
179,18.759388,3.956987,0.250
180,4.489018,2.144568,0.250
181,4.619223,14.621906,0.250
182,4.768283,18.716936,0.250
183,9.786223,2.304211,0.250
184,19.469146,19.115194,0.250
185,5.538098,14.791414,0.250
186,3.283620,8.519852,0.250
187,1.189921,8.400064,0.250
188,7.537331,14.936165,0.250
189,10.218659,3.376186,0.250
190,12.911705,11.879696,0.250
191,13.704255,3.377660,0.250
192,2.120143,15.459840,0.250
193,0.726352,4.829921,0.250
194,19.914046,0.254813,0.250
195,8.108309,9.219399,0.250
196,11.895488,0.147919,0.250
197,18.523033,15.379464,0.250
198,13.615561,11.671050,0.250
199,16.971262,1.948195,0.250
200,19.087418,4.459104,0.250
201,5.699298,7.028844,0.250
202,1.966442,9.669692,0.250
203,6.715957,16.375965,0.250
204,4.244712,11.666832,0.250
205,1.918556,5.373759,0.250
206,12.264074,19.315847,0.250
207,19.746591,13.433943,0.250
208,17.802252,7.327626,0.250
209,7.028362,11.934581,0.250
210,13.247288,15.918281,0.250
211,17.430948,8.986504,0.250
212,18.591815,9.343383,0.250
213,13.743202,7.814939,0.250
214,15.235597,13.054948,0.250
215,15.642436,18.743881,0.250
216,4.620643,4.730787,0.250
217,8.604230,14.357123,0.250
218,18.190223,1.913758,0.250
219,8.725508,19.911735,0.250
220,17.922003,15.699702,0.250
221,12.529142,10.323168,0.250
222,5.635576,17.818958,0.250
223,3.600265,9.904362,0.250
224,10.672674,18.571841,0.250
225,9.904016,1.180613,0.250
226,15.277162,1.662635,0.250
227,3.963408,15.142722,0.250
228,0.439076,10.170085,0.250
229,17.958506,11.200563,0.250
230,15.061085,15.603350,0.250
231,17.899475,18.947361,0.250
232,1.699882,19.050446,0.250
233,8.055434,17.129063,0.250
234,9.562153,5.752700,0.250
235,18.168210,8.869848,0.250
236,10.327306,19.164626,0.250
237,1.708911,13.123287,0.250
238,19.836328,14.519209,0.250
239,13.284046,10.021959,0.250
240,14.509999,1.120382,0.250
241,15.490857,17.180406,0.250
242,17.455154,8.373120,0.250
243,9.949040,10.343029,0.250
244,7.463909,11.417660,0.250
245,17.909118,6.637919,0.250
246,19.113613,15.679579,0.250
247,19.529516,8.081542,0.250
248,9.315301,8.274476,0.250
249,11.355973,18.807767,0.250
250,0.902031,15.983584,0.250
251,16.809277,14.289331,0.250
252,6.575509,2.086884,0.250
253,1.269663,14.762854,0.250
254,12.573272,1.924519,0.250
255,10.619696,9.539084,0.250
256,2.497275,4.514701,0.250
257,15.004862,2.824502,0.250
258,16.441031,11.559085,0.250
259,18.895131,10.832733,0.250
260,0.365932,12.917937,0.250
261,12.926390,8.101908,0.250
262,11.327705,9.447723,0.250
263,16.294558,5.545228,0.250
264,18.906040,0.067956,0.250
265,17.181090,18.532681,0.250
266,16.854776,3.327938,0.250
267,12.369987,1.313647,0.250
268,4.372045,6.882372,0.250
269,8.905243,2.347305,0.250
270,5.948916,4.632920,0.250
271,1.044164,17.299584,0.250
272,10.283223,7.090191,0.250
273,3.392650,5.469100,0.250
274,10.897913,0.180216,0.250
275,11.169888,6.839084,0.250
276,8.454956,5.880057,0.250
277,14.615733,15.351583,0.250
278,11.213443,5.067675,0.250
279,15.871627,14.511943,0.250
280,3.083026,7.652544,0.250
281,15.657089,6.590855,0.250
282,9.721234,18.302893,0.250
283,15.655451,5.733147,0.250
284,15.625654,9.920032,0.250
285,3.405350,15.812977,0.250
286,5.334964,3.477889,0.250
287,6.455874,9.720185,0.250
288,19.171919,9.502935,0.250
289,3.628202,2.373668,0.250
290,14.401721,7.969785,0.250
291,7.901327,10.322949,0.250
292,0.990803,14.279080,0.250
293,19.805795,11.655286,0.250
294,8.258716,16.172688,0.250
295,17.867589,16.723496,0.250
296,18.601834,16.639110,0.250
297,5.795680,19.925491,0.250
298,5.466238,1.508868,0.250
299,18.286940,4.841311,0.250
300,16.881679,8.333263,0.250
301,13.218485,17.014154,0.250
302,7.358555,14.127348,0.250
303,10.575921,1.976259,0.250
304,4.294357,11.133040,0.250
305,15.101830,17.638076,0.250
306,3.919549,16.168281,0.250
307,4.013973,8.278097,0.250
308,6.260858,13.952245,0.250
309,16.443752,2.825973,0.250
310,4.929820,8.277233,0.250
311,3.874637,6.173562,0.250
312,12.760931,15.658840,0.250
313,10.896867,8.855936,0.250
314,10.791075,10.922010,0.250
315,12.067490,7.548925,0.250
316,1.616184,12.382203,0.250
317,14.708125,19.229973,0.250
318,1.489127,14.209755,0.250
319,3.138724,17.428411,0.250
320,5.971124,13.209733,0.250
321,15.756659,2.107503,0.250
322,12.326242,6.364227,0.250
323,14.895738,18.711987,0.250
324,11.308765,17.410549,0.250
325,8.855110,1.509784,0.250
326,7.503627,17.568759,0.250
327,9.027144,8.987775,0.250
328,12.006198,3.723151,0.250
329,17.178120,19.554195,0.250
330,10.925954,13.064957,0.250
331,14.091460,15.803681,0.250
332,5.459788,11.903744,0.250
333,17.373239,3.293502,0.250
334,15.872747,9.274338,0.250
335,3.987340,8.924711,0.250
336,8.401235,8.640318,0.250
337,8.060252,2.644863,0.250
338,4.509330,18.265471,0.250
339,0.928009,13.771039,0.250
340,2.768703,8.972791,0.250
341,17.736775,19.448830,0.250
342,3.460553,13.589950,0.250
343,17.794045,5.233349,0.250
344,13.489301,8.962702,0.250
345,11.148515,15.597276,0.250
346,10.396230,13.592926,0.250
347,2.485247,3.283520,0.250
348,3.257892,14.547653,0.250
349,1.083288,12.425749,0.250
350,6.644973,15.211384,0.250
351,2.421294,7.031727,0.250
352,9.769782,15.073779,0.250
353,14.390292,8.768233,0.250
354,0.639036,5.855561,0.250
355,10.100320,17.041349,0.250
356,4.475273,12.862335,0.250
357,3.332069,6.360095,0.250
358,14.117199,6.319915,0.250
359,7.857071,19.684569,0.250
360,17.885244,1.363509,0.250
361,4.998843,10.040547,0.250
362,9.628818,0.752055,0.250
363,15.364571,19.466997,0.250
364,1.576635,15.640094,0.250
365,14.552667,13.090377,0.250
366,8.348933,9.856357,0.250
367,10.684284,19.626874,0.250
368,4.645291,3.918442,0.250
369,2.279785,8.169589,0.250
370,10.195846,9.229882,0.250
371,12.660611,13.826753,0.250
372,6.682067,11.200073,0.250
373,5.523393,11.011020,0.250
374,5.857541,9.374529,0.250
375,11.086061,15.075402,0.250
376,19.858980,19.458145,0.250
377,11.566737,13.358732,0.250
378,3.601857,19.694485,0.250
379,8.853240,12.958313,0.250
380,1.423236,16.220481,0.250
381,15.527788,10.982649,0.250
382,13.175051,4.422359,0.250
383,6.649104,12.749047,0.250
384,2.955779,16.625652,0.250
385,10.823567,1.142451,0.250
386,7.458235,12.519538,0.250
387,10.284300,17.581328,0.250
388,8.620540,4.446551,0.250
389,12.617215,2.494438,0.250
390,14.035992,10.355108,0.250
391,14.310182,16.851386,0.250
392,18.972261,18.823203,0.250
393,9.931441,11.768107,0.250
394,13.373150,14.855839,0.250
395,6.953025,0.200846,0.250
396,5.675950,2.279912,0.250
397,2.360346,0.895624,0.250
398,17.438585,2.306366,0.250
399,9.810804,16.003638,0.250
400,16.967149,1.225733,0.250
401,5.494655,4.864278,0.250
402,6.719227,17.072735,0.250
403,8.569783,7.055492,0.250
404,15.472988,5.011111,0.250
405,7.805928,12.119112,0.250
406,17.138545,17.118379,0.250
407,18.491239,6.285578,0.250
408,4.784910,13.763821,0.250
409,17.247826,16.605118,0.250
410,10.636018,4.298502,0.250
411,9.838265,18.913326,0.250
412,9.485230,12.519471,0.250
413,10.203586,14.206398,0.250
414,6.213147,17.153783,0.250
415,2.392367,12.498411,0.250
416,16.346250,15.289596,0.250
417,8.024925,11.399648,0.250
418,9.061672,5.042242,0.250
419,7.506010,1.152101,0.250
420,6.010861,1.905379,0.250
421,1.373865,4.150407,0.250
422,6.590443,8.602521,0.250
423,6.566585,0.627105,0.250
424,16.248985,7.238689,0.250
425,15.477302,8.764689,0.250
426,9.332549,3.119996,0.250
427,18.592980,18.451818,0.250
428,19.594666,16.190064,0.250
429,7.485008,7.634591,0.250
430,7.245156,1.879236,0.250
431,11.782330,19.124260,0.250
432,8.183867,13.429565,0.250
433,14.245641,7.055868,0.250
434,17.370788,14.093618,0.250
435,2.657852,0.446754,0.250
436,0.550775,3.821188,0.250
437,4.779926,15.597457,0.250
438,17.464302,14.693437,0.250
439,15.465571,13.681457,0.250
440,10.588122,2.725156,0.250
441,19.312118,13.984134,0.250
442,3.158287,0.636942,0.250
443,7.460791,18.758469,0.250
444,1.111532,5.368586,0.250
445,18.998491,8.590530,0.250
446,8.225893,8.034901,0.250
447,17.015169,0.241321,0.250
448,4.824882,5.772188,0.250
449,11.338504,2.322675,0.250
450,1.319378,10.765694,0.250
451,17.855279,10.376020,0.250
452,4.964073,10.726599,0.250
453,16.190881,8.103397,0.250
454,7.630300,10.876129,0.250
455,19.424173,2.200067,0.250
456,16.104803,0.218664,0.250
457,18.163279,12.486778,0.250
458,6.560814,17.779198,0.250
459,16.029024,15.878281,0.250
460,19.258419,19.690357,0.250
461,14.731085,9.426486,0.250
462,19.835795,12.865140,0.250
463,10.732184,6.325848,0.250
464,4.549970,8.650365,0.250
465,6.538279,15.834780,0.250
466,10.305052,14.931465,0.250
467,4.413762,10.629749,0.250
468,1.576479,4.937704,0.250
469,10.613497,7.685693,0.250
470,3.268894,4.040003,0.250
471,17.385689,0.647777,0.250
472,15.104503,4.272359,0.250
473,14.255539,10.948955,0.250
474,3.084253,4.574700,0.250
475,17.429792,4.840366,0.250
476,12.399313,14.635528,0.250
477,6.967745,2.562829,0.250
478,12.143700,13.000982,0.250
479,8.535781,10.522396,0.250
480,0.402933,18.681255,0.250
481,13.467062,12.604205,0.250
482,2.081423,3.906947,0.250
483,10.743039,14.639421,0.250
484,0.628074,17.722460,0.250
485,10.676449,16.230967,0.250
486,3.852088,0.742341,0.250
487,4.951384,17.215517,0.250
488,6.394839,4.957147,0.250
489,9.099273,16.454803,0.250
490,16.499543,19.484698,0.250
491,2.631904,6.451970,0.250
492,19.061617,16.987224,0.250
493,8.317128,3.834615,0.250
494,3.478182,12.859705,0.250
495,10.552307,5.816628,0.250
496,13.710454,0.487040,0.250
497,19.104792,14.503976,0.250
498,13.932674,1.090176,0.250
499,1.599950,7.641292,0.250
500,14.163994,5.310308,0.250
501,0.039265,5.863925,0.250
502,0.010212,15.397152,0.250
503,2.531513,10.487024,0.250
504,7.702857,4.068126,0.250
505,3.830512,16.749403,0.250
506,12.574888,3.069173,0.250
507,4.104834,2.710518,0.250
508,12.573691,16.260287,0.250
509,19.547676,17.765781,0.250
510,16.626751,16.645903,0.250
511,0.129834,2.152273,0.250
512,8.896261,14.868020,0.250
513,9.023665,12.249791,0.250
514,5.292968,2.660306,0.250
515,18.918514,11.920812,0.250
516,2.447709,17.365114,0.250
517,14.063101,4.398104,0.250
518,11.208972,2.910234,0.250
519,3.769807,0.221474,0.250
520,16.093253,13.969534,0.250
521,5.784511,5.661311,0.250
522,4.709137,3.010618,0.250
523,18.790002,9.827796,0.250
524,13.616267,5.587056,0.250
525,8.318615,18.810768,0.250
526,19.224345,1.223414,0.250
527,8.184097,6.617145,0.250
528,12.560376,17.306404,0.250
529,13.482937,8.408962,0.250
530,16.127266,10.143851,0.250
531,2.649744,18.628101,0.250
532,0.608660,8.105470,0.250
533,11.683367,7.148558,0.250
534,17.190038,13.147571,0.250
535,18.434638,3.102513,0.250
536,19.960475,6.820603,0.250
537,3.538329,3.008818,0.250
538,5.290368,7.808825,0.250
539,14.666992,2.031818,0.250
540,8.828475,11.738818,0.250
541,15.413941,0.436101,0.250
542,13.748475,18.673529,0.250
543,14.042443,14.070340,0.250
544,19.510559,8.800300,0.250
545,7.284484,9.997899,0.250
546,12.208889,18.119993,0.250
547,0.368158,19.403175,0.250
548,12.980342,12.422046,0.250
549,2.753834,3.944911,0.250
550,0.443740,14.685564,0.250
551,15.683968,16.604273,0.250
552,5.258768,19.897830,0.250
553,13.077932,5.811733,0.250
554,2.101675,11.435884,0.250
555,17.793744,5.779476,0.250
556,7.457941,0.009998,0.250
557,16.510324,18.419218,0.250
558,18.839461,13.790781,0.250
559,19.560230,18.448488,0.250
560,18.359920,12.009706,0.250
561,1.732309,17.754185,0.250
562,10.372381,4.941205,0.250
563,6.957433,4.464274,0.250
564,14.197837,13.539232,0.250
565,8.180804,1.122325,0.250
566,11.952968,8.122317,0.250
567,4.411883,17.520195,0.250
568,6.377312,18.446428,0.250
569,3.382132,12.186632,0.250
570,16.983539,12.211917,0.250
571,13.905050,2.297070,0.250
572,8.151625,18.315388,0.250
573,16.289636,12.217958,0.250
574,4.828550,19.214515,0.250
575,0.473889,0.974726,0.250
576,7.098638,6.592539,0.250
577,16.000271,19.661317,0.250
578,16.431555,17.390883,0.250
579,9.116606,6.113692,0.250
580,13.601606,2.789221,0.250
581,13.729936,18.124188,0.250
582,1.857298,13.801013,0.250
583,14.627913,5.558882,0.250
584,17.078011,4.237745,0.250
585,18.881213,4.920373,0.250
586,5.632590,12.818811,0.250
587,6.255693,6.781655,0.250
588,14.659859,12.232643,0.250
589,19.988521,17.332166,0.250
590,12.286134,0.621081,0.250
591,7.679428,0.553683,0.250
592,11.919178,9.313991,0.250
593,12.981436,19.835277,0.250
594,14.505679,14.626956,0.250
595,18.480908,7.434878,0.250
596,4.660782,9.223307,0.250
597,4.044956,19.071885,0.250
598,11.355511,8.384097,0.250
599,2.173436,18.461048,0.250
600,10.808198,17.891880,0.250
601,8.846222,2.919451,0.250
602,9.491010,17.431197,0.250
603,15.792629,11.817884,0.250
604,0.212481,12.171034,0.250
605,1.800705,4.451436,0.250
606,18.540872,2.559673,0.250
607,0.434545,9.590102,0.250
608,13.592036,6.850955,0.250
609,1.952554,0.574989,0.250
610,14.554165,17.898981,0.250
611,2.174352,19.349627,0.250
612,6.108294,14.509721,0.250
613,10.773446,12.473090,0.250
614,11.160510,4.482573,0.250
615,0.622613,16.866761,0.250
616,3.862832,5.216004,0.250
617,6.975965,14.608524,0.250
618,16.964164,15.571214,0.250
619,17.615950,12.410687,0.250
620,14.558942,4.244164,0.250
621,10.959302,10.040138,0.250
622,15.532377,17.903192,0.250
623,10.114132,12.542440,0.250
624,18.713358,6.917316,0.250
625,3.752998,10.594068,0.250
626,18.191598,13.781166,0.250
627,15.103946,11.278408,0.250
628,4.202253,15.700108,0.250
629,2.579161,16.019864,0.250
630,15.449352,1.177562,0.250
631,16.616816,14.767501,0.250
632,19.850927,7.342952,0.250
633,13.413241,1.742707,0.250
634,10.953507,16.678982,0.250
635,19.075763,16.454824,0.250
636,19.156766,3.305887,0.250
637,1.857354,17.113999,0.250
638,18.873427,1.700467,0.250
639,8.204304,17.663337,0.250
640,4.780750,6.281512,0.250
641,5.546866,10.507276,0.250
642,7.321081,15.523244,0.250
643,13.372698,13.566773,0.250
644,3.643714,3.552258,0.250
645,15.240641,14.684877,0.250
646,1.607372,1.468445,0.250
647,8.665072,9.342660,0.250
648,16.821340,18.011765,0.250
649,19.881459,5.372862,0.250
650,16.851965,12.730020,0.250
651,11.011551,5.559463,0.250
652,0.981925,19.183884,0.250
653,10.190212,18.120139,0.250
654,1.533213,7.115895,0.250
655,6.833499,3.910370,0.250
656,7.414366,9.317871,0.250
657,9.213394,15.883688,0.250
658,17.974792,14.330229,0.250
659,6.569614,6.336770,0.250
660,12.624709,15.168561,0.250
661,14.709073,6.705026,0.250
662,7.956791,14.031344,0.250
663,5.451024,16.131182,0.250
664,15.593501,3.709928,0.250
665,15.012654,10.346267,0.250
666,3.718307,1.360006,0.250
667,19.031631,10.292022,0.250
668,19.197575,6.615900,0.250
669,7.242636,8.232475,0.250
670,9.307898,13.186688,0.250
671,19.384732,11.069580,0.250
672,8.992772,18.639003,0.250
673,2.999287,18.082986,0.250
674,11.376361,14.125742,0.250
675,2.220045,1.599124,0.250
676,17.565844,3.963711,0.250
677,7.225088,10.551793,0.250
678,5.732934,8.794225,0.250
679,17.626085,13.487846,0.250
680,9.255738,19.302162,0.250
681,13.366796,19.220571,0.250
682,8.616202,19.368566,0.250
683,4.984345,12.684139,0.250
684,0.416021,5.280521,0.250
685,14.746061,7.586883,0.250
686,7.360989,18.161908,0.250
687,16.568155,11.045343,0.250
688,13.658188,16.377553,0.250
689,5.119539,4.488504,0.250
690,0.796155,4.260038,0.250
691,15.123308,7.185813,0.250
692,6.625461,1.124170,0.250
693,10.225558,13.103674,0.250
694,19.658190,16.756032,0.250
695,11.722927,11.065628,0.250
696,2.704730,9.865185,0.250
697,11.413494,6.036579,0.250
698,0.300493,16.253768,0.250
699,7.733846,5.986987,0.250
700,17.867855,11.810588,0.250
701,19.112364,5.753175,0.250
702,2.153127,16.680054,0.250
703,7.153044,16.053907,0.250
704,8.392793,4.931956,0.250
705,14.884239,0.641850,0.250
706,10.598788,15.528559,0.250
707,3.184503,10.861784,0.250
708,12.330209,18.684569,0.250
709,17.907356,2.519152,0.250
710,18.976497,18.047205,0.250
711,12.668911,11.145045,0.250
712,0.909264,18.493336,0.250
713,4.870534,7.075249,0.250
714,0.192375,4.304411,0.250
715,10.086007,6.140837,0.250
716,16.142827,13.366890,0.250
717,16.464290,1.420454,0.250
718,16.436913,9.140644,0.250
719,4.927256,1.381410,0.250
720,6.276881,8.099884,0.250
721,15.276292,14.162955,0.250
722,11.593656,19.613809,0.250
723,12.947127,5.258504,0.250
724,14.474452,2.688936,0.250
725,18.007111,3.544414,0.250
726,1.068110,1.171937,0.250
727,1.372163,9.182269,0.250
728,4.371219,1.527266,0.250
729,18.625444,17.530129,0.250
730,11.466551,3.887680,0.250
731,12.208883,4.781991,0.250
732,17.279630,7.496495,0.250
733,9.947933,4.429266,0.250
734,0.214191,13.740861,0.250
735,3.719953,7.699810,0.250
736,15.949405,4.742754,0.250
737,15.218383,2.328851,0.250
738,18.844309,7.824791,0.250
739,5.138067,9.048190,0.250
740,11.648346,4.803699,0.250
741,9.707073,14.458589,0.250
742,13.605679,9.477346,0.250
743,12.385003,19.998188,0.250
744,1.995386,8.857956,0.250
745,11.326531,10.540918,0.250
746,13.186206,7.371499,0.250
747,15.631172,4.246689,0.250
748,12.357146,11.598466,0.250
749,0.953590,13.053687,0.250
750,19.526121,2.773303,0.250
751,17.047857,5.611272,0.250
752,16.510413,2.199360,0.250
753,8.828707,11.227426,0.250
754,16.765627,10.146882,0.250
755,18.496560,5.673390,0.250
756,12.112913,2.874369,0.250
757,7.601331,2.290308,0.250
758,3.401894,1.814203,0.250
759,1.927150,16.039740,0.250
760,7.676964,16.037498,0.250
761,15.589938,8.236090,0.250
762,1.906493,6.669431,0.250
763,14.771267,0.052894,0.250
764,16.243353,6.055591,0.250
765,14.735762,16.110740,0.250
766,3.883445,12.033559,0.250
767,4.170045,5.684203,0.250
768,11.231648,11.536161,0.250
769,5.905390,7.639373,0.250
770,12.941767,3.418841,0.250
771,13.189402,10.645320,0.250
772,7.472445,8.756695,0.250
773,13.095974,9.490790,0.250
774,8.905274,6.582978,0.250
775,9.743090,13.570742,0.250
776,16.626687,6.595209,0.250
777,12.496558,5.601747,0.250
778,12.237690,16.656712,0.250
779,18.476448,19.081576,0.250
780,4.414137,0.374359,0.250
781,7.919924,5.440352,0.250
782,19.783073,3.839816,0.250
783,2.793992,1.752449,0.250
784,12.680538,7.120264,0.250
785,5.412931,18.892539,0.250
786,6.045922,11.685708,0.250
787,9.288482,15.383262,0.250
788,1.741517,19.690489,0.250
789,18.265013,19.701526,0.250
790,17.242691,16.041343,0.250
791,2.925834,13.850354,0.250
792,8.562402,16.739295,0.250
793,1.517169,0.139209,0.250
794,3.770762,17.879470,0.250
795,11.981406,5.911976,0.250
796,15.853521,12.706431,0.250
797,0.866915,19.714990,0.250
798,12.861090,13.269333,0.250
799,11.798785,16.124260,0.250
800,10.424026,0.809456,0.250
801,9.963731,8.750201,0.250
802,3.389955,9.340589,0.250
803,16.646825,4.795365,0.250
804,9.011268,3.971043,0.250
805,7.372558,13.095065,0.250
806,18.495731,14.467715,0.250
807,16.701866,13.766888,0.250
808,0.767573,1.662810,0.250
809,0.945135,9.811507,0.250
810,17.542878,6.291649,0.250
811,11.203212,1.521884,0.250
812,7.063327,19.447258,0.250
813,10.546813,10.390510,0.250
814,12.823068,0.343429,0.250
815,15.048847,16.756431,0.250
816,14.613704,11.402164,0.250
817,11.483022,7.893266,0.250
818,10.205127,1.596501,0.250
819,17.708303,15.135511,0.250
820,2.205276,6.100431,0.250
821,7.402578,16.775391,0.250
822,2.779353,5.814905,0.250
823,2.982035,12.740789,0.250
824,9.551325,9.054643,0.250
825,5.771711,9.976807,0.250
826,11.806477,9.905240,0.250
827,5.900204,2.744688,0.250
828,0.811477,11.656660,0.250
829,6.244327,10.654699,0.250
830,6.132739,1.237659,0.250
831,18.453417,1.355792,0.250
832,2.787733,12.091151,0.250
833,1.817773,15.038996,0.250
834,12.464451,8.613265,0.250
835,2.705915,19.180169,0.250
836,3.173208,18.649951,0.250
837,6.781660,7.783745,0.250
838,0.091871,18.251175,0.250
839,1.164022,2.747664,0.250
840,6.467888,5.518618,0.250
841,11.971851,4.289231,0.250
842,7.270068,3.323114,0.250
843,5.377266,6.143836,0.250
844,11.056737,12.021771,0.250
845,16.122953,3.429738,0.250
846,7.902704,19.106627,0.250
847,9.278562,7.056742,0.250
848,14.363313,19.593948,0.250
849,10.624659,11.506263,0.250
850,10.825298,8.227420,0.250
851,18.415464,10.382290,0.250
852,10.089036,7.691929,0.250
853,6.453875,19.740627,0.250
854,7.525657,6.988784,0.250
855,11.628434,12.193673,0.250
856,16.150906,16.409021,0.250
857,13.398208,17.567764,0.250
858,9.305337,4.487702,0.250
859,3.453702,15.157277,0.250
860,9.315834,11.613474,0.250
861,17.907153,9.310592,0.250
862,17.236234,11.321026,0.250
863,2.062015,11.993642,0.250
864,15.940513,11.310782,0.250
865,17.334469,9.724689,0.250
866,15.719250,10.490576,0.250
867,12.626751,3.831081,0.250
868,8.633856,13.719413,0.250
869,2.635448,11.075362,0.250
870,11.306968,0.687505,0.250
871,10.856538,14.141087,0.250
872,5.410795,0.424986,0.250
873,15.965380,1.371013,0.250
